Date,Time,Open,High,Low,Close,Volume
08/01/2021,17:00,1.18665,1.18669,1.18657,1.18667,0
08/08/2021,17:00,1.17603,1.17616,1.176,1.17612,0
08/15/2021,17:00,1.17934,1.17945,1.17934,1.17936,0
08/22/2021,17:00,1.16989,1.16992,1.1695,1.16951,0
08/29/2021,17:00,1.17937,1.17937,1.17922,1.17927,0
09/05/2021,17:00,1.18782,1.18783,1.18773,1.18773,0
09/12/2021,17:00,1.18111,1.18139,1.1811,1.18137,0
09/19/2021,17:00,1.17288,1.17305,1.17288,1.17297,0
09/26/2021,17:00,1.17253,1.17258,1.17253,1.17256,0
10/03/2021,17:00,1.15954,1.15954,1.15932,1.15932,0
10/10/2021,17:00,1.15674,1.15685,1.15662,1.15662,0
10/17/2021,17:00,1.15903,1.1595,1.15903,1.1595,0
10/24/2021,17:00,1.16382,1.16382,1.16382,1.16382,0
10/31/2021,17:00,1.15625,1.15642,1.15575,1.15596,0
11/07/2021,17:00,1.15566,1.15585,1.15559,1.15585,0
11/14/2021,17:00,1.14473,1.14473,1.1446,1.14464,0
11/21/2021,17:00,1.12873,1.12907,1.12873,1.12895,0
11/28/2021,17:00,1.13004,1.13047,1.13003,1.13047,0
12/05/2021,17:00,1.13076,1.13117,1.13076,1.13117,0
12/12/2021,17:00,1.13159,1.13164,1.13146,1.13146,0
12/19/2021,17:00,1.12371,1.12379,1.12367,1.12373,0
